,purity,nmi,ari,v_measure,fowlkes_mallows,homogeneity,completeness,silhouette,n_clusters,noise_ratio,davies_bouldin,calinski_harabasz,best_params
MiniBatchKMeans,0.8223671049892018,0.6988720694679408,0.15076828414267185,0.6988720694679407,0.27849236363544305,0.8261674374191259,0.6055667231737287,0.2470369189977646,200,0.0,1.9338433670389983,196.9043079417265,"{'n_clusters': 200, 'batch_size': 2048}"
BisectingKMeans,0.7563064148047145,0.6743536536026055,0.18620304913079946,0.6743536536026055,0.3067600549422183,0.7700895808592445,0.5997891233116973,0.2045513540506363,150,0.0,2.370447009249141,200.20171899395007,{'n_clusters': 150}
BIRCH,0.9611919215836766,0.6493048895036291,0.10819426737931276,0.649304889503629,0.24647560634550236,0.9732503743172753,0.48715559975563016,0.16373178362846375,20805,0.0,0.7908795393271686,36.18277972003036,"{'threshold': 0.3, 'n_clusters': None}"
Ensemble (Voting),0.8224487546387207,0.6993712413918617,0.1529644581386307,0.6993712413918617,0.28092252664934075,0.8262359823562906,0.6062797672106031,0.24432487785816193,200.0,0.0,1.9203657010183508,194.9350733764157,
Supervised Baseline,0.9426719738722188,0.924804836376822,0.968238144172931,,,,,0.0,370,0.0,,,LogisticRegression(Default)
