cluster_id,size,pct,dominant_category,purity,num_categories
6384,67,0.013676316294412308,Magnetic Tape Cassettes,0.14925373134328357,26
6196,13,0.002653613609363582,Portable Speakers,0.15384615384615385,9
5548,5,0.001020620618985993,Mobile Phones,0.2,5
20701,5,0.001020620618985993,Embedded Computers,0.2,5
17287,19,0.0038783583521467737,Printer/Scanner Spare Parts,0.21052631578947367,8
10079,14,0.0028577377331607803,Blank DVDs,0.21428571428571427,8
10856,9,0.0018371171141747876,Flat Panel Accessories,0.2222222222222222,5
15889,9,0.0018371171141747876,Software Licenses/Upgrades,0.2222222222222222,6
8809,22,0.00449073072353837,Household Batteries,0.22727272727272727,13
6403,37,0.007552592580496348,Blank Data Tapes,0.24324324324324326,19
832,4,0.0008164964951887944,Cable Interface/Gender Adapters,0.25,4
515,4,0.0008164964951887944,Fusers,0.25,4
11117,4,0.0008164964951887944,Serial Cables,0.25,4
12974,4,0.0008164964951887944,Power Banks,0.25,4
17389,4,0.0008164964951887944,Large Format Media,0.25,4
848,4,0.0008164964951887944,Networking Cards,0.25,4
9994,4,0.0008164964951887944,Flat Panel Desk Mounts,0.25,4
8026,4,0.0008164964951887944,Tablet Cases,0.25,4
3417,4,0.0008164964951887944,VGA Cables,0.25,4
18532,4,0.0008164964951887944,PCs/Workstations,0.25,4
16679,8,0.0016329929903775887,Installation Services,0.25,5
12794,8,0.0016329929903775887,Network Management Software,0.25,6
17321,4,0.0008164964951887944,Printer Software,0.25,4
13837,4,0.0008164964951887944,Computer Case Parts,0.25,4
15236,4,0.0008164964951887944,Disk Arrays,0.25,4
15763,4,0.0008164964951887944,Printer Cleaning,0.25,4
4046,4,0.0008164964951887944,Storage Drive Enclosures,0.25,4
8995,4,0.0008164964951887944,Portable Stereo Systems,0.25,4
6920,4,0.0008164964951887944,Screen Protectors,0.25,4
8418,4,0.0008164964951887944,Mobile Phone Spare Parts,0.25,4
7066,4,0.0008164964951887944,Wrist Rests,0.25,4
13149,8,0.0016329929903775887,Notebook Docks & Port Replicators,0.25,5
16506,4,0.0008164964951887944,Peripheral Controllers,0.25,4
5930,4,0.0008164964951887944,Projector Accessories,0.25,4
5973,15,0.0030618618569579793,TVs,0.26666666666666666,9
17239,26,0.005307227218727164,Laser Printers,0.2692307692307692,11
6418,22,0.00449073072353837,Camera Flashes,0.2727272727272727,9
3067,128,0.02612788784604142,HDMI Cables,0.2734375,11
1034,7,0.0014288688665803902,POS Printers,0.2857142857142857,6
20889,7,0.0014288688665803902,Notebooks,0.2857142857142857,6
6417,7,0.0014288688665803902,Home Audio Sets,0.2857142857142857,5
3664,7,0.0014288688665803902,SCSI Cables,0.2857142857142857,4
17442,7,0.0014288688665803902,Camcorders,0.2857142857142857,5
6137,7,0.0014288688665803902,Notebook Cases,0.2857142857142857,5
841,7,0.0014288688665803902,KVM Switches,0.2857142857142857,6
5183,7,0.0014288688665803902,Mobile Phone Spare Parts,0.2857142857142857,5
2111,7,0.0014288688665803902,Computer Cases,0.2857142857142857,5
1240,7,0.0014288688665803902,Network Extenders,0.2857142857142857,4
6398,31,0.006327847837713157,Memory Cards,0.2903225806451613,15
20991,10,0.002041241237971986,Notebook Spare Parts,0.3,6
6401,10,0.002041241237971986,Holders,0.3,7
6428,20,0.004082482475943972,Magneto Optical Disks,0.3,8
5252,10,0.002041241237971986,Toner Cartridges,0.3,6
6392,10,0.002041241237971986,MP3/MP4 Players,0.3,6
10803,10,0.002041241237971986,UPS Batteries,0.3,6
5185,19,0.0038783583521467737,Home Audio Sets,0.3157894736842105,7
13082,19,0.0038783583521467737,Internal Power Cables,0.3157894736842105,5
3288,25,0.005103103094929964,Cable Interface/Gender Adapters,0.32,6
5181,43,0.00877733732327954,Toner Cartridges,0.32558139534883723,10
1943,3,0.0006123723713915958,Toner Cartridges,0.3333333333333333,3
16204,3,0.0006123723713915958,Language Fonts,0.3333333333333333,3
13560,3,0.0006123723713915958,Flat Panel Mount Accessories,0.3333333333333333,3
16211,3,0.0006123723713915958,Webcams,0.3333333333333333,3
360,3,0.0006123723713915958,Printer Software,0.3333333333333333,3
3649,3,0.0006123723713915958,Wire Connectors,0.3333333333333333,3
3665,3,0.0006123723713915958,Wire Connectors,0.3333333333333333,3
19641,3,0.0006123723713915958,Computer Cases,0.3333333333333333,3
16559,3,0.0006123723713915958,General Utility Software,0.3333333333333333,3
6396,6,0.0012247447427831916,Camera Mounting Accessories,0.3333333333333333,5
984,3,0.0006123723713915958,Networking Cards,0.3333333333333333,3
19014,3,0.0006123723713915958,PC/Workstation Barebones,0.3333333333333333,3
9827,3,0.0006123723713915958,Projector Accessories,0.3333333333333333,3
9804,3,0.0006123723713915958,Flat Panel Ceiling Mounts,0.3333333333333333,3
6420,15,0.0030618618569579793,Camera Mounting Accessories,0.3333333333333333,8
15733,3,0.0006123723713915958,Storage Drive Enclosures,0.3333333333333333,3
16195,3,0.0006123723713915958,Flat Panel Mount Accessories,0.3333333333333333,3
14604,6,0.0012247447427831916,Cable Interface/Gender Adapters,0.3333333333333333,4
15235,6,0.0012247447427831916,Bridges & Repeaters,0.3333333333333333,3
17236,3,0.0006123723713915958,Customer Displays,0.3333333333333333,3
9511,3,0.0006123723713915958,CD Players,0.3333333333333333,3
12386,3,0.0006123723713915958,Power Banks,0.3333333333333333,3
14812,6,0.0012247447427831916,DisplayPort Cables,0.3333333333333333,3
12642,3,0.0006123723713915958,Household Batteries,0.3333333333333333,3
4178,3,0.0006123723713915958,External Hard Drives,0.3333333333333333,3
